"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"09:27:18.493, 22 de jun. de 2023","0,0","0,0","514.850.816","32.264.320","4.206","0","22","19"
"09:27:19.485, 22 de jun. de 2023","0,5","0,0","514.850.816","33.744.552","4.208","0","22","19"
"09:27:20.485, 22 de jun. de 2023","0,1","0,0","514.850.816","33.744.552","4.208","0","22","19"
"09:27:21.486, 22 de jun. de 2023","0,1","0,0","514.850.816","33.744.552","4.208","0","22","19"
"09:27:22.486, 22 de jun. de 2023","0,2","0,0","514.850.816","33.744.552","4.208","0","22","19"
"09:27:23.487, 22 de jun. de 2023","0,1","0,0","514.850.816","33.744.552","4.208","0","22","19"
"09:27:24.487, 22 de jun. de 2023","0,5","0,0","514.850.816","35.224.280","4.208","0","22","19"
"09:27:25.487, 22 de jun. de 2023","0,1","0,0","514.850.816","35.224.280","4.208","0","22","19"
"09:27:26.487, 22 de jun. de 2023","24,7","0,1","514.850.816","119.395.776","4.463","0","401","398"
"09:27:27.488, 22 de jun. de 2023","72,2","0,1","514.850.816","172.922.344","4.464","0","564","564"
"09:27:28.488, 22 de jun. de 2023","69,5","1,0","514.850.816","200.610.320","4.427","0","719","721"
"09:27:29.488, 22 de jun. de 2023","40,7","0,1","578.289.664","246.184.232","4.428","0","523","521"
"09:27:30.488, 22 de jun. de 2023","27,1","0,0","578.289.664","328.613.240","4.428","0","522","519"
"09:27:31.488, 22 de jun. de 2023","28,6","0,1","582.483.968","281.036.208","4.428","0","524","521"
"09:27:32.488, 22 de jun. de 2023","27,8","0,1","714.604.544","240.821.936","4.428","0","523","520"
"09:27:33.488, 22 de jun. de 2023","26,1","0,0","714.604.544","345.129.920","4.428","0","525","521"
"09:27:34.488, 22 de jun. de 2023","28,1","0,0","714.604.544","449.099.952","4.428","0","522","520"
"09:27:35.488, 22 de jun. de 2023","28,5","0,1","715.653.120","284.688.712","4.428","0","524","521"
"09:27:36.489, 22 de jun. de 2023","25,0","0,0","715.653.120","386.798.048","4.429","0","22","19"
"09:27:37.489, 22 de jun. de 2023","0,1","0,0","715.653.120","387.007.704","4.429","0","22","19"
"09:27:38.490, 22 de jun. de 2023","0,1","0,0","715.653.120","387.427.024","4.429","0","22","19"
"09:27:39.490, 22 de jun. de 2023","0,1","0,0","715.653.120","387.636.648","4.429","0","22","19"
"09:27:40.490, 22 de jun. de 2023","0,0","0,0","715.653.120","388.055.936","4.429","0","22","19"
"09:27:41.491, 22 de jun. de 2023","0,6","0,0","715.653.120","388.265.568","4.429","0","22","19"
"09:27:42.491, 22 de jun. de 2023","0,1","0,0","715.653.120","388.475.264","4.429","0","22","19"
"09:27:43.491, 22 de jun. de 2023","0,1","0,0","715.653.120","388.894.552","4.430","0","22","19"
"09:27:44.492, 22 de jun. de 2023","0,0","0,0","715.653.120","389.104.200","4.434","0","22","19"
"09:27:45.492, 22 de jun. de 2023","0,1","0,0","715.653.120","389.523.992","4.434","0","22","19"
"09:27:46.492, 22 de jun. de 2023","0,0","0,0","715.653.120","389.733.624","4.435","0","22","19"
"09:27:47.493, 22 de jun. de 2023","0,1","0,0","715.653.120","389.943.256","4.435","0","22","19"
"09:27:48.493, 22 de jun. de 2023","0,0","0,0","715.653.120","390.362.536","4.435","0","22","19"
"09:27:49.494, 22 de jun. de 2023","0,2","0,0","715.653.120","390.572.232","4.435","0","22","19"
"09:27:50.494, 22 de jun. de 2023","0,2","0,0","715.653.120","390.992.552","4.435","0","22","19"
"09:27:51.494, 22 de jun. de 2023","0,1","0,0","715.653.120","391.202.192","4.435","0","22","19"
"09:27:52.495, 22 de jun. de 2023","0,1","0,0","715.653.120","391.411.840","4.435","0","22","19"
"09:27:53.495, 22 de jun. de 2023","0,1","0,0","715.653.120","391.833.136","4.437","0","22","19"
"09:27:54.496, 22 de jun. de 2023","0,1","0,0","715.653.120","392.043.112","4.437","0","22","19"
"09:27:55.496, 22 de jun. de 2023","0,1","0,0","715.653.120","392.462.464","4.437","0","22","19"
"09:27:56.497, 22 de jun. de 2023","0,0","0,0","715.653.120","392.672.120","4.437","0","22","19"
"09:27:57.497, 22 de jun. de 2023","0,1","0,0","715.653.120","392.881.768","4.437","0","22","19"
"09:27:58.498, 22 de jun. de 2023","0,1","0,0","715.653.120","393.301.080","4.437","0","22","19"
"09:27:59.498, 22 de jun. de 2023","0,0","0,0","715.653.120","393.510.720","4.437","0","22","19"
"09:28:00.499, 22 de jun. de 2023","0,1","0,0","715.653.120","393.720.368","4.437","0","22","19"
"09:28:01.499, 22 de jun. de 2023","0,0","0,0","715.653.120","394.139.648","4.437","0","22","19"
"09:28:02.500, 22 de jun. de 2023","0,1","0,0","715.653.120","394.349.288","4.437","0","22","19"
"09:28:03.500, 22 de jun. de 2023","0,1","0,0","715.653.120","394.558.912","4.437","0","22","19"
"09:28:04.501, 22 de jun. de 2023","0,0","0,0","715.653.120","394.979.216","4.437","0","22","19"
"09:28:05.502, 22 de jun. de 2023","0,2","0,0","715.653.120","395.190.248","4.437","0","22","19"
"09:28:06.502, 22 de jun. de 2023","0,0","0,0","715.653.120","395.611.032","4.437","0","22","19"
"09:28:07.503, 22 de jun. de 2023","0,1","0,0","715.653.120","395.820.664","4.437","0","22","19"
"09:28:08.503, 22 de jun. de 2023","0,6","0,0","715.653.120","396.030.312","4.437","0","22","19"
"09:28:09.504, 22 de jun. de 2023","0,1","0,0","715.653.120","396.450.600","4.437","0","22","19"
"09:28:10.504, 22 de jun. de 2023","0,0","0,0","715.653.120","396.660.264","4.437","0","22","19"
"09:28:11.505, 22 de jun. de 2023","0,1","0,0","715.653.120","396.869.912","4.438","0","22","19"
"09:28:12.505, 22 de jun. de 2023","0,1","0,0","715.653.120","397.418.144","4.438","0","22","19"
"09:28:13.506, 22 de jun. de 2023","0,0","0,0","715.653.120","397.627.768","4.438","0","22","19"
"09:28:14.506, 22 de jun. de 2023","0,0","0,0","715.653.120","397.837.496","4.438","0","22","19"
"09:28:15.507, 22 de jun. de 2023","0,1","0,0","715.653.120","398.258.792","4.442","0","22","19"
"09:28:16.507, 22 de jun. de 2023","0,8","0,0","715.653.120","398.679.080","4.445","0","22","19"
"09:28:17.508, 22 de jun. de 2023","0,0","0,0","715.653.120","398.889.728","4.445","0","22","19"
"09:28:18.508, 22 de jun. de 2023","0,3","0,0","715.653.120","399.099.360","4.445","0","22","19"
"09:28:19.509, 22 de jun. de 2023","0,0","0,0","715.653.120","399.519.736","4.445","0","22","19"
"09:28:20.509, 22 de jun. de 2023","0,1","0,0","715.653.120","399.729.368","4.445","0","22","19"
"09:28:21.510, 22 de jun. de 2023","1,8","0,0","715.653.120","400.149.688","4.445","0","22","19"
"09:28:22.510, 22 de jun. de 2023","0,0","0,0","715.653.120","400.359.328","4.445","0","22","19"
"09:28:23.511, 22 de jun. de 2023","0,1","0,0","715.653.120","400.568.976","4.445","0","22","19"
"09:28:24.511, 22 de jun. de 2023","0,0","0,0","715.653.120","400.988.288","4.445","0","22","19"
"09:28:25.512, 22 de jun. de 2023","0,1","0,0","715.653.120","401.198.936","4.445","0","22","19"
"09:28:26.512, 22 de jun. de 2023","0,1","0,0","715.653.120","401.408.568","4.445","0","22","19"
"09:28:27.513, 22 de jun. de 2023","0,1","0,0","715.653.120","405.380.200","4.445","0","20","17"
"09:28:28.513, 22 de jun. de 2023","0,2","0,0","715.653.120","405.589.856","4.445","0","20","17"
"09:28:29.514, 22 de jun. de 2023","0,4","0,0","715.653.120","405.799.504","4.445","0","20","17"
"09:28:30.514, 22 de jun. de 2023","0,0","0,0","715.653.120","406.219.808","4.445","0","20","17"
"09:28:31.515, 22 de jun. de 2023","0,1","0,0","715.653.120","406.429.944","4.445","0","20","17"
"09:28:32.515, 22 de jun. de 2023","0,1","0,0","715.653.120","406.941.440","4.445","0","20","17"
"09:28:33.516, 22 de jun. de 2023","0,1","0,0","715.653.120","407.361.720","4.445","0","20","17"
"09:28:34.516, 22 de jun. de 2023","0,0","0,0","715.653.120","407.571.376","4.445","0","20","17"
"09:28:35.517, 22 de jun. de 2023","0,2","0,0","715.653.120","407.782.408","4.445","0","20","17"
"09:28:36.517, 22 de jun. de 2023","0,0","0,0","715.653.120","407.992.048","4.445","0","20","17"
"09:28:37.518, 22 de jun. de 2023","0,1","0,0","715.653.120","408.411.432","4.445","0","20","17"
"09:28:38.518, 22 de jun. de 2023","0,0","0,0","715.653.120","408.622.080","4.445","0","20","17"
"09:28:39.519, 22 de jun. de 2023","0,1","0,0","715.653.120","408.831.744","4.446","0","20","17"
"09:28:40.519, 22 de jun. de 2023","0,1","0,0","715.653.120","409.251.040","4.446","0","20","17"
"09:28:41.520, 22 de jun. de 2023","0,1","0,0","715.653.120","409.460.680","4.446","0","20","17"
"09:28:42.520, 22 de jun. de 2023","0,2","0,0","715.653.120","409.670.312","4.446","0","20","17"
