"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:30:10.846, 30 de jun. de 2023","0,5","0,0","617.086.976","391.373.400","4.177","0","1.364","1.361"
"21:30:11.847, 30 de jun. de 2023","0,5","0,0","617.086.976","395.315.712","4.177","0","1.364","1.361"
"21:30:12.847, 30 de jun. de 2023","0,4","0,0","617.086.976","399.450.512","4.177","0","1.364","1.361"
"21:30:13.847, 30 de jun. de 2023","0,7","0,0","617.086.976","403.392.856","4.178","0","1.364","1.361"
"21:30:14.847, 30 de jun. de 2023","1,0","0,0","617.086.976","407.570.896","4.185","0","1.364","1.361"
"21:30:15.848, 30 de jun. de 2023","1,8","0,1","504.365.056","282.408.912","4.185","0","1.364","1.361"
"21:30:16.848, 30 de jun. de 2023","0,9","0,0","504.365.056","286.931.528","4.185","0","1.364","1.361"
"21:30:17.848, 30 de jun. de 2023","0,5","0,0","504.365.056","290.255.936","4.185","0","1.364","1.361"
"21:30:18.848, 30 de jun. de 2023","0,6","0,0","504.365.056","294.701.032","4.185","0","1.364","1.361"
"21:30:19.848, 30 de jun. de 2023","0,5","0,0","504.365.056","299.133.632","4.185","0","1.364","1.361"
"21:30:20.849, 30 de jun. de 2023","0,5","0,0","504.365.056","302.460.840","4.185","0","1.364","1.361"
"21:30:21.849, 30 de jun. de 2023","0,6","0,0","504.365.056","306.893.392","4.185","0","1.364","1.361"
"21:30:22.849, 30 de jun. de 2023","0,3","0,0","504.365.056","311.326.008","4.185","0","1.364","1.361"
"21:30:23.849, 30 de jun. de 2023","0,6","0,0","504.365.056","314.654.640","4.185","0","1.364","1.361"
"21:30:24.849, 30 de jun. de 2023","4,2","0,0","504.365.056","319.280.008","4.185","0","1.364","1.361"
"21:30:25.850, 30 de jun. de 2023","0,5","0,0","504.365.056","322.604.432","4.185","0","1.364","1.361"
"21:30:26.850, 30 de jun. de 2023","0,5","0,0","504.365.056","327.042.424","4.185","0","1.364","1.361"
"21:30:27.850, 30 de jun. de 2023","0,4","0,0","504.365.056","331.520.024","4.185","0","1.364","1.361"
"21:30:28.850, 30 de jun. de 2023","0,5","0,0","504.365.056","335.190.032","4.185","0","1.364","1.361"
"21:30:29.850, 30 de jun. de 2023","0,7","0,0","504.365.056","339.815.376","4.185","0","1.364","1.361"
"21:30:30.851, 30 de jun. de 2023","0,5","0,0","504.365.056","343.139.808","4.185","0","1.364","1.361"
"21:30:31.851, 30 de jun. de 2023","0,6","0,0","504.365.056","347.583.256","4.185","0","1.364","1.361"
"21:30:32.851, 30 de jun. de 2023","0,6","0,0","504.365.056","352.060.872","4.185","0","1.364","1.361"
"21:30:33.851, 30 de jun. de 2023","0,5","0,0","504.365.056","355.385.344","4.185","0","1.364","1.361"
"21:30:34.851, 30 de jun. de 2023","0,5","0,0","504.365.056","360.222.880","4.185","0","1.364","1.361"
"21:30:35.852, 30 de jun. de 2023","0,7","0,0","504.365.056","363.562.528","4.187","0","1.363","1.360"
"21:30:36.852, 30 de jun. de 2023","6,0","0,0","504.365.056","375.640.976","4.187","0","30","27"
"21:30:37.852, 30 de jun. de 2023","0,1","0,0","504.365.056","375.640.976","4.187","0","30","27"
"21:30:38.852, 30 de jun. de 2023","0,0","0,0","504.365.056","376.458.896","4.187","0","29","26"
"21:30:39.853, 30 de jun. de 2023","0,1","0,0","504.365.056","377.567.040","4.187","0","29","26"
"21:30:40.853, 30 de jun. de 2023","0,1","0,0","504.365.056","377.579.536","4.187","0","29","26"
"21:30:41.853, 30 de jun. de 2023","0,2","0,0","504.365.056","377.579.536","4.187","0","29","26"
"21:30:42.853, 30 de jun. de 2023","0,2","0,0","504.365.056","377.579.536","4.187","0","29","26"
"21:30:43.853, 30 de jun. de 2023","0,0","0,0","504.365.056","378.687.680","4.187","0","29","26"
"21:30:44.854, 30 de jun. de 2023","0,1","0,0","504.365.056","378.687.680","4.187","0","29","26"
"21:30:45.854, 30 de jun. de 2023","0,1","0,0","504.365.056","378.687.680","4.187","0","29","26"
"21:30:46.854, 30 de jun. de 2023","19,3","0,1","600.834.048","304.406.264","4.187","0","462","459"
"21:30:47.854, 30 de jun. de 2023","79,7","0,0","600.834.048","350.850.072","4.187","0","754","751"
"21:30:48.854, 30 de jun. de 2023","72,1","0,0","600.834.048","371.214.920","4.187","0","754","751"
"21:30:49.854, 30 de jun. de 2023","51,0","0,0","600.834.048","390.096.632","4.187","0","754","751"
"21:30:50.854, 30 de jun. de 2023","52,1","0,0","600.834.048","410.199.368","4.187","0","754","751"
"21:30:51.855, 30 de jun. de 2023","57,8","1,5","631.242.752","214.212.888","4.122","0","996","993"
"21:30:52.855, 30 de jun. de 2023","49,4","0,0","631.242.752","234.812.968","4.122","0","996","993"
"21:30:53.855, 30 de jun. de 2023","46,0","0,0","631.242.752","255.158.856","4.122","0","996","993"
"21:30:54.855, 30 de jun. de 2023","48,7","0,0","631.242.752","275.530.928","4.122","0","996","993"
"21:30:55.855, 30 de jun. de 2023","46,3","0,1","542.113.792","210.704.504","4.122","0","996","993"
"21:30:56.856, 30 de jun. de 2023","39,5","0,0","542.113.792","228.604.672","4.122","0","996","993"
"21:30:57.856, 30 de jun. de 2023","0,5","0,0","542.113.792","231.756.704","4.122","0","996","993"
"21:30:58.856, 30 de jun. de 2023","0,7","0,0","542.113.792","234.301.624","4.122","0","996","993"
"21:30:59.856, 30 de jun. de 2023","0,3","0,0","542.113.792","237.543.776","4.122","0","996","993"
"21:31:00.856, 30 de jun. de 2023","0,6","0,0","542.113.792","240.692.312","4.123","0","996","993"
"21:31:01.856, 30 de jun. de 2023","0,3","0,0","542.113.792","243.844.352","4.123","0","996","993"
"21:31:02.857, 30 de jun. de 2023","0,3","0,0","542.113.792","247.176.640","4.124","0","996","993"
"21:31:03.857, 30 de jun. de 2023","0,6","0,0","542.113.792","250.329.656","4.124","0","996","993"
"21:31:04.857, 30 de jun. de 2023","0,3","0,0","542.113.792","252.848.512","4.124","0","996","993"
"21:31:05.857, 30 de jun. de 2023","0,3","0,0","542.113.792","256.114.952","4.124","0","996","993"
"21:31:06.858, 30 de jun. de 2023","0,5","0,0","542.113.792","259.289.576","4.125","0","996","993"
"21:31:07.858, 30 de jun. de 2023","0,5","0,0","542.113.792","262.621.976","4.125","0","996","993"
"21:31:08.858, 30 de jun. de 2023","0,5","0,0","542.113.792","265.784.752","4.125","0","996","993"
"21:31:09.858, 30 de jun. de 2023","0,5","0,0","542.113.792","268.936.800","4.125","0","996","993"
"21:31:10.859, 30 de jun. de 2023","0,5","0,0","542.113.792","271.504.144","4.125","0","996","993"
"21:31:11.859, 30 de jun. de 2023","0,3","0,0","542.113.792","274.656.160","4.125","0","996","993"
"21:31:12.859, 30 de jun. de 2023","0,5","0,0","542.113.792","277.827.328","4.125","0","996","993"
"21:31:13.859, 30 de jun. de 2023","0,3","0,0","542.113.792","281.159.624","4.125","0","996","993"
"21:31:14.859, 30 de jun. de 2023","0,3","0,0","542.113.792","284.312.120","4.125","0","996","993"
"21:31:15.860, 30 de jun. de 2023","0,4","0,0","542.113.792","286.903.768","4.128","0","996","993"
"21:31:16.860, 30 de jun. de 2023","0,5","0,0","542.113.792","290.142.632","4.128","0","996","993"
"21:31:17.860, 30 de jun. de 2023","0,3","0,0","542.113.792","293.317.232","4.129","0","996","993"
"21:31:18.860, 30 de jun. de 2023","0,3","0,0","542.113.792","296.649.576","4.129","0","996","993"
"21:31:19.861, 30 de jun. de 2023","1,3","0,0","542.113.792","299.801.592","4.129","0","996","993"
"21:31:20.861, 30 de jun. de 2023","1,2","0,0","542.113.792","302.973.664","4.129","0","996","993"
"21:31:21.861, 30 de jun. de 2023","0,5","0,0","542.113.792","305.541.040","4.129","0","996","993"
"21:31:22.861, 30 de jun. de 2023","0,4","0,0","542.113.792","308.701.008","4.129","0","996","993"
"21:31:23.861, 30 de jun. de 2023","0,2","0,0","542.113.792","311.853.160","4.129","0","996","993"
"21:31:24.862, 30 de jun. de 2023","0,5","0,0","542.113.792","315.182.112","4.129","0","996","993"
"21:31:25.862, 30 de jun. de 2023","0,8","0,1","625.999.872","187.551.528","4.129","0","996","993"
"21:31:26.862, 30 de jun. de 2023","0,4","0,0","625.999.872","190.644.912","4.129","0","996","993"
"21:31:27.862, 30 de jun. de 2023","0,3","0,0","625.999.872","193.738.288","4.129","0","996","993"
"21:31:28.863, 30 de jun. de 2023","0,3","0,0","625.999.872","197.033.024","4.129","0","996","993"
"21:31:29.863, 30 de jun. de 2023","0,3","0,0","625.999.872","200.127.440","4.129","0","996","993"
"21:31:30.863, 30 de jun. de 2023","0,3","0,0","625.999.872","203.220.864","4.129","0","996","993"
"21:31:31.863, 30 de jun. de 2023","0,3","0,0","625.999.872","206.314.272","4.129","0","996","993"
"21:31:32.864, 30 de jun. de 2023","0,3","0,0","625.999.872","209.407.688","4.129","0","996","993"
"21:31:33.864, 30 de jun. de 2023","0,5","0,0","625.999.872","212.501.144","4.129","0","996","993"
"21:31:34.864, 30 de jun. de 2023","0,3","0,0","625.999.872","215.594.544","4.129","0","996","993"
"21:31:35.864, 30 de jun. de 2023","0,4","0,0","625.999.872","217.675.728","4.129","0","996","993"
"21:31:36.864, 30 de jun. de 2023","0,3","0,0","625.999.872","220.769.120","4.129","0","996","993"
"21:31:37.865, 30 de jun. de 2023","0,3","0,0","625.999.872","223.862.528","4.129","0","996","993"
"21:31:38.865, 30 de jun. de 2023","0,3","0,0","625.999.872","226.956.968","4.129","0","996","993"
"21:31:39.865, 30 de jun. de 2023","0,3","0,0","625.999.872","230.051.376","4.129","0","996","993"
"21:31:40.865, 30 de jun. de 2023","0,3","0,0","625.999.872","233.152.704","4.129","0","996","993"
"21:31:41.866, 30 de jun. de 2023","0,2","0,0","625.999.872","236.246.592","4.129","0","996","993"
"21:31:42.866, 30 de jun. de 2023","1,5","0,0","625.999.872","239.340.048","4.129","0","996","993"
"21:31:43.866, 30 de jun. de 2023","2,6","0,0","625.999.872","242.437.400","4.129","0","996","993"
"21:31:44.866, 30 de jun. de 2023","0,5","0,0","625.999.872","245.530.872","4.129","0","996","993"
"21:31:45.867, 30 de jun. de 2023","0,3","0,0","625.999.872","248.640.000","4.129","0","996","993"
"21:31:46.867, 30 de jun. de 2023","0,3","0,0","625.999.872","251.733.368","4.129","0","996","993"
"21:31:47.867, 30 de jun. de 2023","0,3","0,0","625.999.872","254.826.752","4.129","0","996","993"
"21:31:48.867, 30 de jun. de 2023","0,3","0,0","625.999.872","257.920.144","4.129","0","996","993"
"21:31:49.867, 30 de jun. de 2023","0,3","0,0","625.999.872","261.013.584","4.129","0","996","993"
"21:31:50.868, 30 de jun. de 2023","4,9","0,0","625.999.872","264.112.608","4.129","0","996","993"
"21:31:51.868, 30 de jun. de 2023","0,6","0,0","625.999.872","267.211.632","4.129","0","996","993"
"21:31:52.868, 30 de jun. de 2023","0,3","0,0","625.999.872","270.316.336","4.129","0","996","993"
"21:31:53.868, 30 de jun. de 2023","0,4","0,0","625.999.872","273.409.784","4.129","0","996","993"
"21:31:54.868, 30 de jun. de 2023","0,3","0,0","625.999.872","276.503.224","4.129","0","996","993"
"21:31:55.869, 30 de jun. de 2023","0,3","0,0","625.999.872","279.657.048","4.129","0","996","993"
"21:31:56.869, 30 de jun. de 2023","2,2","0,0","625.999.872","285.355.384","4.129","0","29","26"
"21:31:57.869, 30 de jun. de 2023","0,1","0,0","625.999.872","285.358.048","4.129","0","29","26"
"21:31:58.869, 30 de jun. de 2023","0,0","0,0","625.999.872","285.360.712","4.129","0","29","26"
"21:31:59.869, 30 de jun. de 2023","0,1","0,0","625.999.872","286.396.776","4.129","0","29","26"
"21:32:00.870, 30 de jun. de 2023","0,1","0,0","625.999.872","286.399.440","4.129","0","29","26"
"21:32:01.870, 30 de jun. de 2023","0,1","0,0","625.999.872","286.402.104","4.129","0","29","26"
"21:32:02.870, 30 de jun. de 2023","0,1","0,0","625.999.872","287.435.000","4.129","0","29","26"
"21:32:03.870, 30 de jun. de 2023","0,0","0,0","625.999.872","287.437.664","4.129","0","29","26"
"21:32:04.870, 30 de jun. de 2023","0,1","0,0","625.999.872","287.440.328","4.129","0","29","26"
"21:32:05.871, 30 de jun. de 2023","0,0","0,0","625.999.872","287.473.776","4.129","0","29","26"
"21:32:06.871, 30 de jun. de 2023","6,2","0,1","516.423.680","201.837.000","4.129","0","359","355"
"21:32:07.871, 30 de jun. de 2023","50,7","0,0","516.423.680","256.197.520","4.129","0","695","692"
"21:32:08.871, 30 de jun. de 2023","49,1","0,0","516.423.680","275.469.576","4.129","0","695","692"
"21:32:09.871, 30 de jun. de 2023","45,6","0,0","516.423.680","295.788.176","4.129","0","695","692"
"21:32:10.871, 30 de jun. de 2023","50,5","0,1","606.076.928","246.413.816","4.129","0","695","692"
"21:32:11.871, 30 de jun. de 2023","44,7","0,0","606.076.928","266.033.304","4.129","0","695","692"
"21:32:12.871, 30 de jun. de 2023","48,7","0,0","606.076.928","285.884.360","4.129","0","695","692"
"21:32:13.872, 30 de jun. de 2023","44,3","0,0","606.076.928","305.738.168","4.129","0","695","692"
"21:32:14.872, 30 de jun. de 2023","48,4","0,0","606.076.928","325.601.128","4.129","0","695","692"
"21:32:15.872, 30 de jun. de 2023","45,8","0,1","503.316.480","235.221.200","4.129","0","695","692"
"21:32:16.872, 30 de jun. de 2023","44,3","0,0","503.316.480","254.345.808","4.129","0","695","692"
"21:32:17.872, 30 de jun. de 2023","0,7","0,0","503.316.480","256.924.056","4.129","0","695","692"
"21:32:18.873, 30 de jun. de 2023","0,2","0,0","503.316.480","258.863.672","4.129","0","695","692"
"21:32:19.873, 30 de jun. de 2023","0,2","0,0","503.316.480","261.441.480","4.129","0","695","692"
"21:32:20.873, 30 de jun. de 2023","0,2","0,0","503.316.480","263.420.512","4.129","0","695","692"
"21:32:21.873, 30 de jun. de 2023","0,7","0,0","503.316.480","265.354.496","4.129","0","695","692"
"21:32:22.873, 30 de jun. de 2023","0,2","0,0","503.316.480","267.932.312","4.129","0","695","692"
"21:32:23.874, 30 de jun. de 2023","0,3","0,0","503.316.480","269.959.136","4.129","0","695","692"
"21:32:24.874, 30 de jun. de 2023","0,2","0,0","503.316.480","271.938.216","4.129","0","695","692"
"21:32:25.874, 30 de jun. de 2023","0,5","0,0","503.316.480","273.894.256","4.129","0","695","692"
"21:32:26.874, 30 de jun. de 2023","0,7","0,0","503.316.480","276.472.520","4.129","0","695","692"
"21:32:27.874, 30 de jun. de 2023","0,2","0,0","503.316.480","278.429.032","4.129","0","695","692"
"21:32:28.875, 30 de jun. de 2023","0,2","0,0","503.316.480","280.486.616","4.129","0","695","692"
"21:32:29.875, 30 de jun. de 2023","1,0","0,0","503.316.480","283.064.480","4.129","0","695","692"
"21:32:30.875, 30 de jun. de 2023","0,3","0,0","503.316.480","284.998.488","4.129","0","695","692"
"21:32:31.875, 30 de jun. de 2023","0,2","0,0","503.316.480","287.576.344","4.129","0","695","692"
"21:32:32.876, 30 de jun. de 2023","0,6","0,0","503.316.480","289.600.480","4.129","0","695","692"
"21:32:33.876, 30 de jun. de 2023","0,2","0,0","503.316.480","291.556.992","4.129","0","695","692"
"21:32:34.876, 30 de jun. de 2023","0,5","0,0","503.316.480","293.490.976","4.129","0","695","692"
"21:32:35.876, 30 de jun. de 2023","0,2","0,0","503.316.480","296.090.776","4.129","0","695","692"
"21:32:36.876, 30 de jun. de 2023","0,2","0,0","503.316.480","298.027.416","4.129","0","695","692"
"21:32:37.877, 30 de jun. de 2023","0,3","0,0","503.316.480","300.605.264","4.129","0","695","692"
"21:32:38.877, 30 de jun. de 2023","0,3","0,0","503.316.480","302.584.304","4.129","0","695","692"
"21:32:39.877, 30 de jun. de 2023","0,3","0,0","503.316.480","304.518.280","4.129","0","695","692"
"21:32:40.877, 30 de jun. de 2023","0,2","0,0","503.316.480","307.096.064","4.129","0","695","692"
"21:32:41.878, 30 de jun. de 2023","0,2","0,0","503.316.480","309.120.200","4.129","0","695","692"
"21:32:42.878, 30 de jun. de 2023","0,2","0,0","503.316.480","311.054.192","4.129","0","695","692"
"21:32:43.878, 30 de jun. de 2023","0,2","0,0","503.316.480","313.632.512","4.129","0","695","692"
"21:32:44.878, 30 de jun. de 2023","0,3","0,0","503.316.480","315.611.576","4.129","0","695","692"
"21:32:45.878, 30 de jun. de 2023","0,2","0,0","503.316.480","317.570.736","4.129","0","695","692"
"21:32:46.879, 30 de jun. de 2023","0,3","0,0","503.316.480","320.149.592","4.129","0","695","692"
"21:32:47.879, 30 de jun. de 2023","0,2","0,0","503.316.480","322.128.640","4.129","0","695","692"
"21:32:48.879, 30 de jun. de 2023","0,2","0,0","503.316.480","324.062.632","4.129","0","695","692"
"21:32:49.879, 30 de jun. de 2023","0,2","0,0","503.316.480","326.640.512","4.129","0","695","692"
"21:32:50.879, 30 de jun. de 2023","0,2","0,0","503.316.480","328.619.600","4.129","0","695","692"
"21:32:51.880, 30 de jun. de 2023","0,3","0,0","503.316.480","330.553.592","4.129","0","695","692"
"21:32:52.880, 30 de jun. de 2023","0,2","0,0","503.316.480","333.131.352","4.129","0","695","692"
"21:32:53.880, 30 de jun. de 2023","0,2","0,0","503.316.480","335.110.432","4.129","0","695","692"
"21:32:54.880, 30 de jun. de 2023","1,3","0,0","607.649.792","232.011.160","4.129","0","695","692"
"21:32:55.881, 30 de jun. de 2023","0,2","0,0","607.649.792","234.047.064","4.129","0","695","692"
"21:32:56.881, 30 de jun. de 2023","0,3","0,0","607.649.792","236.019.592","4.129","0","695","692"
"21:32:57.881, 30 de jun. de 2023","0,2","0,0","607.649.792","237.992.144","4.129","0","695","692"
"21:32:58.881, 30 de jun. de 2023","0,3","0,0","607.649.792","241.094.280","4.129","0","695","692"
"21:32:59.881, 30 de jun. de 2023","0,3","0,0","607.649.792","243.066.808","4.129","0","695","692"
"21:33:00.882, 30 de jun. de 2023","0,2","0,0","607.649.792","245.039.344","4.129","0","695","692"
"21:33:01.882, 30 de jun. de 2023","0,3","0,0","607.649.792","247.011.896","4.129","0","695","692"
"21:33:02.882, 30 de jun. de 2023","0,2","0,0","607.649.792","248.987.328","4.129","0","695","692"
"21:33:03.882, 30 de jun. de 2023","2,2","0,0","607.649.792","251.944.848","4.129","0","695","692"
"21:33:04.883, 30 de jun. de 2023","0,3","0,0","607.649.792","253.965.088","4.129","0","695","692"
"21:33:05.883, 30 de jun. de 2023","0,2","0,0","607.649.792","255.974.544","4.129","0","695","692"
"21:33:06.883, 30 de jun. de 2023","0,2","0,0","607.649.792","257.947.088","4.129","0","695","692"
"21:33:07.883, 30 de jun. de 2023","0,2","0,0","607.649.792","259.919.640","4.129","0","695","692"
"21:33:08.883, 30 de jun. de 2023","0,2","0,0","607.649.792","262.877.600","4.129","0","695","692"
"21:33:09.884, 30 de jun. de 2023","0,2","0,0","607.649.792","264.895.200","4.129","0","695","692"
"21:33:10.884, 30 de jun. de 2023","0,3","0,0","607.649.792","266.890.256","4.129","0","695","692"
"21:33:11.884, 30 de jun. de 2023","0,3","0,0","607.649.792","268.862.792","4.129","0","695","692"
"21:33:12.884, 30 de jun. de 2023","0,3","0,0","607.649.792","270.835.384","4.129","0","695","692"
"21:33:13.885, 30 de jun. de 2023","0,2","0,0","607.649.792","272.807.984","4.129","0","695","692"
"21:33:14.885, 30 de jun. de 2023","0,5","0,0","607.649.792","275.788.992","4.129","0","695","692"
"21:33:15.885, 30 de jun. de 2023","0,2","0,0","607.649.792","277.787.032","4.129","0","695","692"
