"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:19:33.249, 30 de jun. de 2023","0,5","0,0","649.592.832","469.258.672","4.190","0","1.089","1.086"
"21:19:34.249, 30 de jun. de 2023","0,6","0,0","649.592.832","472.693.568","4.190","0","1.089","1.086"
"21:19:35.249, 30 de jun. de 2023","0,3","0,0","649.592.832","476.154.296","4.190","0","1.089","1.086"
"21:19:36.250, 30 de jun. de 2023","2,1","0,2","649.592.832","230.084.752","4.190","0","1.089","1.086"
"21:19:37.250, 30 de jun. de 2023","0,5","0,0","649.592.832","235.871.264","4.190","0","1.089","1.086"
"21:19:38.250, 30 de jun. de 2023","0,3","0,0","649.592.832","239.167.240","4.190","0","1.089","1.086"
"21:19:39.250, 30 de jun. de 2023","0,5","0,0","649.592.832","242.553.344","4.190","0","1.089","1.086"
"21:19:40.250, 30 de jun. de 2023","0,3","0,0","649.592.832","245.849.320","4.190","0","1.089","1.086"
"21:19:41.250, 30 de jun. de 2023","1,0","0,0","649.592.832","249.157.088","4.190","0","1.089","1.086"
"21:19:42.250, 30 de jun. de 2023","0,3","0,0","649.592.832","252.452.984","4.190","0","1.089","1.086"
"21:19:43.251, 30 de jun. de 2023","0,5","0,0","649.592.832","255.761.232","4.190","0","1.089","1.086"
"21:19:44.251, 30 de jun. de 2023","2,7","0,0","649.592.832","259.057.168","4.190","0","1.089","1.086"
"21:19:45.251, 30 de jun. de 2023","0,5","0,0","649.592.832","262.364.312","4.191","0","1.089","1.086"
"21:19:46.251, 30 de jun. de 2023","0,3","0,0","649.592.832","265.663.136","4.191","0","1.089","1.086"
"21:19:47.251, 30 de jun. de 2023","0,6","0,0","649.592.832","268.959.016","4.191","0","1.089","1.086"
"21:19:48.251, 30 de jun. de 2023","0,5","0,0","649.592.832","272.260.544","4.191","0","1.089","1.086"
"21:19:49.252, 30 de jun. de 2023","0,5","0,0","649.592.832","275.646.656","4.198","0","1.089","1.086"
"21:19:50.252, 30 de jun. de 2023","0,6","0,0","649.592.832","278.944.040","4.198","0","1.089","1.086"
"21:19:51.252, 30 de jun. de 2023","0,3","0,0","649.592.832","282.242.848","4.198","0","1.089","1.086"
"21:19:52.252, 30 de jun. de 2023","1,0","0,0","649.592.832","285.538.808","4.198","0","1.089","1.086"
"21:19:53.252, 30 de jun. de 2023","1,0","0,0","649.592.832","288.836.120","4.198","0","1.089","1.086"
"21:19:54.252, 30 de jun. de 2023","0,5","0,0","649.592.832","292.223.304","4.198","0","1.089","1.086"
"21:19:55.253, 30 de jun. de 2023","0,3","0,0","649.592.832","295.530.488","4.198","0","1.089","1.086"
"21:19:56.253, 30 de jun. de 2023","0,4","0,0","649.592.832","298.837.696","4.198","0","1.089","1.086"
"21:19:57.253, 30 de jun. de 2023","0,5","0,0","649.592.832","301.610.688","4.198","0","1.089","1.086"
"21:19:58.253, 30 de jun. de 2023","0,8","0,0","649.592.832","304.816.520","4.198","0","1.089","1.086"
"21:19:59.253, 30 de jun. de 2023","3,6","0,0","649.592.832","308.022.408","4.198","0","1.089","1.086"
"21:20:00.253, 30 de jun. de 2023","0,3","0,0","649.592.832","311.564.840","4.198","0","1.089","1.086"
"21:20:01.253, 30 de jun. de 2023","0,3","0,0","649.592.832","314.932.632","4.198","0","1.089","1.086"
"21:20:02.253, 30 de jun. de 2023","0,4","0,0","649.592.832","318.163.304","4.198","0","1.089","1.086"
"21:20:03.254, 30 de jun. de 2023","0,6","0,0","649.592.832","321.616.640","4.198","0","1.089","1.086"
"21:20:04.254, 30 de jun. de 2023","0,3","0,0","649.592.832","324.978.880","4.198","0","1.089","1.086"
"21:20:05.254, 30 de jun. de 2023","0,5","0,0","649.592.832","328.431.184","4.198","0","1.089","1.086"
"21:20:06.254, 30 de jun. de 2023","0,6","0,0","649.592.832","331.883.496","4.198","0","1.089","1.086"
"21:20:07.254, 30 de jun. de 2023","0,3","0,0","649.592.832","334.573.240","4.198","0","1.089","1.086"
"21:20:08.254, 30 de jun. de 2023","0,5","0,0","649.592.832","338.439.152","4.198","0","1.089","1.086"
"21:20:09.255, 30 de jun. de 2023","0,6","0,0","649.592.832","341.810.184","4.198","0","1.089","1.086"
"21:20:10.255, 30 de jun. de 2023","0,7","0,0","649.592.832","346.092.688","4.198","0","1.089","1.086"
"21:20:11.255, 30 de jun. de 2023","0,3","0,0","649.592.832","349.461.504","4.198","0","1.089","1.086"
"21:20:12.255, 30 de jun. de 2023","0,3","0,0","649.592.832","352.151.272","4.198","0","1.089","1.086"
"21:20:13.255, 30 de jun. de 2023","0,6","0,0","649.592.832","355.513.464","4.198","0","1.089","1.086"
"21:20:14.255, 30 de jun. de 2023","0,5","0,0","649.592.832","358.875.608","4.198","0","1.089","1.086"
"21:20:15.265, 30 de jun. de 2023","3,8","0,0","649.592.832","372.305.048","4.200","0","695","692"
"21:20:16.264, 30 de jun. de 2023","0,2","0,0","649.592.832","374.994.792","4.200","0","695","692"
"21:20:17.256, 30 de jun. de 2023","0,8","0,0","649.592.832","379.476.896","4.200","0","552","549"
"21:20:18.256, 30 de jun. de 2023","1,8","0,0","649.592.832","396.374.440","4.200","0","20","17"
"21:20:19.256, 30 de jun. de 2023","0,1","0,0","649.592.832","396.374.440","4.200","0","20","17"
"21:20:20.257, 30 de jun. de 2023","0,1","0,0","649.592.832","396.374.440","4.200","0","20","17"
"21:20:21.257, 30 de jun. de 2023","0,1","0,0","649.592.832","397.046.864","4.200","0","20","17"
"21:20:22.257, 30 de jun. de 2023","0,0","0,0","649.592.832","397.046.864","4.200","0","20","17"
"21:20:23.257, 30 de jun. de 2023","0,8","0,0","649.592.832","397.719.304","4.200","0","20","17"
"21:20:24.258, 30 de jun. de 2023","0,3","0,0","649.592.832","397.719.304","4.200","0","20","17"
"21:20:25.258, 30 de jun. de 2023","0,1","0,0","649.592.832","397.719.304","4.200","0","20","17"
"21:20:26.258, 30 de jun. de 2023","0,1","0,0","649.592.832","398.392.744","4.200","0","20","17"
"21:20:27.258, 30 de jun. de 2023","0,1","0,0","649.592.832","398.392.744","4.200","0","20","17"
"21:20:28.258, 30 de jun. de 2023","27,1","0,0","649.592.832","446.914.760","4.200","0","603","600"
"21:20:29.259, 30 de jun. de 2023","74,5","0,0","649.592.832","481.932.864","4.200","0","761","758"
"21:20:30.259, 30 de jun. de 2023","75,0","0,4","1.013.448.704","317.852.872","4.200","0","763","760"
"21:20:31.260, 30 de jun. de 2023","49,0","0,0","1.013.448.704","340.209.512","4.200","0","763","760"
"21:20:32.260, 30 de jun. de 2023","50,1","0,0","1.013.448.704","357.306.016","4.200","0","763","760"
"21:20:33.260, 30 de jun. de 2023","46,0","0,0","1.013.448.704","374.399.696","4.200","0","763","760"
"21:20:34.261, 30 de jun. de 2023","49,2","0,0","1.013.448.704","392.735.320","4.200","0","763","760"
"21:20:35.261, 30 de jun. de 2023","46,0","0,0","1.013.448.704","410.052.848","4.201","0","763","760"
"21:20:36.261, 30 de jun. de 2023","49,2","0,0","1.013.448.704","429.340.080","4.202","0","762","759"
"21:20:37.261, 30 de jun. de 2023","46,5","0,0","1.013.448.704","446.655.344","4.202","0","762","759"
"21:20:38.270, 30 de jun. de 2023","31,8","0,0","1.013.448.704","461.359.088","4.202","0","762","759"
"21:20:39.261, 30 de jun. de 2023","0,3","0,0","1.013.448.704","463.076.624","4.202","0","762","759"
"21:20:40.271, 30 de jun. de 2023","0,3","0,0","1.013.448.704","466.511.664","4.203","0","762","759"
"21:20:41.270, 30 de jun. de 2023","0,5","0,0","1.013.448.704","468.229.176","4.203","0","762","759"
"21:20:42.273, 30 de jun. de 2023","0,6","0,0","1.013.448.704","469.946.704","4.203","0","762","759"
"21:20:43.271, 30 de jun. de 2023","0,3","0,0","1.013.448.704","473.426.880","4.203","0","762","759"
"21:20:44.271, 30 de jun. de 2023","0,2","0,0","1.013.448.704","475.144.400","4.203","0","762","759"
"21:20:45.272, 30 de jun. de 2023","0,3","0,0","1.013.448.704","476.861.904","4.203","0","762","759"
"21:20:46.271, 30 de jun. de 2023","0,2","0,0","1.013.448.704","480.341.976","4.203","0","762","759"
"21:20:47.272, 30 de jun. de 2023","0,3","0,0","1.013.448.704","482.059.504","4.203","0","762","759"
"21:20:48.272, 30 de jun. de 2023","0,3","0,0","1.013.448.704","483.777.032","4.203","0","762","759"
"21:20:49.273, 30 de jun. de 2023","0,2","0,0","1.013.448.704","487.234.576","4.206","0","762","759"
"21:20:50.273, 30 de jun. de 2023","0,8","0,0","1.013.448.704","488.952.104","4.206","0","762","759"
"21:20:51.273, 30 de jun. de 2023","0,2","0,0","1.013.448.704","490.669.632","4.207","0","762","759"
"21:20:52.265, 30 de jun. de 2023","0,3","0,0","1.013.448.704","494.116.368","4.207","0","762","759"
"21:20:53.265, 30 de jun. de 2023","1,0","0,0","1.013.448.704","495.833.896","4.207","0","762","759"
"21:20:54.274, 30 de jun. de 2023","0,9","0,0","1.013.448.704","497.551.472","4.207","0","762","759"
"21:20:55.273, 30 de jun. de 2023","0,2","0,0","1.013.448.704","500.987.536","4.207","0","762","759"
"21:20:56.274, 30 de jun. de 2023","0,3","0,0","1.013.448.704","502.705.072","4.207","0","762","759"
"21:20:57.274, 30 de jun. de 2023","0,3","0,0","1.013.448.704","506.140.120","4.207","0","762","759"
"21:20:58.274, 30 de jun. de 2023","0,3","0,0","1.013.448.704","507.857.624","4.207","0","762","759"
"21:20:59.274, 30 de jun. de 2023","0,3","0,0","1.013.448.704","509.575.136","4.207","0","762","759"
"21:21:00.275, 30 de jun. de 2023","0,3","0,0","1.013.448.704","513.032.696","4.207","0","762","759"
"21:21:01.266, 30 de jun. de 2023","0,2","0,0","1.013.448.704","514.750.232","4.207","0","762","759"
"21:21:02.275, 30 de jun. de 2023","0,2","0,0","1.013.448.704","516.467.760","4.207","0","762","759"
"21:21:03.275, 30 de jun. de 2023","0,3","0,0","1.013.448.704","519.947.912","4.207","0","762","759"
"21:21:04.276, 30 de jun. de 2023","0,3","0,0","1.013.448.704","521.665.440","4.207","0","762","759"
"21:21:05.276, 30 de jun. de 2023","0,2","0,0","1.013.448.704","523.382.952","4.207","0","762","759"
"21:21:06.276, 30 de jun. de 2023","0,3","0,0","1.013.448.704","526.908.120","4.207","0","762","759"
"21:21:07.277, 30 de jun. de 2023","0,3","0,0","1.013.448.704","528.625.648","4.207","0","762","759"
"21:21:08.277, 30 de jun. de 2023","0,3","0,0","1.013.448.704","530.343.184","4.207","0","762","759"
"21:21:09.277, 30 de jun. de 2023","0,2","0,0","1.013.448.704","533.823.336","4.207","0","762","759"
"21:21:10.267, 30 de jun. de 2023","0,3","0,0","1.013.448.704","536.502.992","4.207","0","762","759"
"21:21:11.278, 30 de jun. de 2023","0,3","0,0","1.013.448.704","538.220.512","4.207","0","762","759"
"21:21:12.268, 30 de jun. de 2023","0,5","0,0","1.013.448.704","541.700.584","4.207","0","762","759"
"21:21:13.278, 30 de jun. de 2023","0,2","0,0","1.013.448.704","543.418.112","4.207","0","762","759"
"21:21:14.278, 30 de jun. de 2023","0,2","0,0","1.013.448.704","545.135.640","4.207","0","762","759"
"21:21:15.279, 30 de jun. de 2023","0,3","0,0","1.013.448.704","548.570.744","4.207","0","762","759"
"21:21:16.268, 30 de jun. de 2023","0,8","0,0","1.013.448.704","550.288.280","4.207","0","762","759"
"21:21:17.269, 30 de jun. de 2023","1,7","0,0","1.013.448.704","552.005.800","4.207","0","762","759"
