"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:26:20.307, 19 de jun. de 2023","0,3","0,0","758.644.736","354.166.248","22.216.704","21.634.056","4.449","0","688","685"
"16:26:21.308, 19 de jun. de 2023","0,3","0,0","758.644.736","357.016.912","22.216.704","21.642.840","4.449","0","688","685"
"16:26:22.308, 19 de jun. de 2023","0,3","0,0","758.644.736","358.299.032","22.216.704","21.647.664","4.449","0","688","685"
"16:26:23.309, 19 de jun. de 2023","0,2","0,0","758.644.736","360.874.536","22.216.704","21.647.664","4.449","0","688","685"
"16:26:24.309, 19 de jun. de 2023","0,2","0,0","758.644.736","363.519.144","22.216.704","21.648.320","4.449","0","688","685"
"16:26:25.309, 19 de jun. de 2023","0,2","0,0","758.644.736","364.801.272","22.216.704","21.648.320","4.449","0","688","685"
"16:26:26.310, 19 de jun. de 2023","0,3","0,0","758.644.736","367.365.520","22.216.704","21.648.320","4.449","0","688","685"
"16:26:27.310, 19 de jun. de 2023","0,3","0,0","758.644.736","368.647.648","22.216.704","21.648.320","4.449","0","688","685"
"16:26:28.310, 19 de jun. de 2023","0,3","0,0","758.644.736","371.211.904","22.216.704","21.648.320","4.449","0","688","685"
"16:26:29.311, 19 de jun. de 2023","0,2","0,0","758.644.736","373.798.680","22.216.704","21.648.320","4.449","0","688","685"
"16:26:30.311, 19 de jun. de 2023","0,2","0,0","758.644.736","375.080.816","22.216.704","21.648.320","4.449","0","688","685"
"16:26:31.311, 19 de jun. de 2023","0,3","0,0","758.644.736","377.645.576","22.216.704","21.651.904","4.449","0","688","685"
"16:26:32.312, 19 de jun. de 2023","0,2","0,0","758.644.736","380.232.352","22.216.704","21.651.904","4.449","0","688","685"
"16:26:33.312, 19 de jun. de 2023","0,2","0,0","758.644.736","381.514.488","22.216.704","21.651.904","4.449","0","688","685"
"16:26:34.312, 19 de jun. de 2023","0,7","0,0","758.644.736","384.079.248","22.216.704","21.651.904","4.449","0","688","685"
"16:26:35.312, 19 de jun. de 2023","0,3","0,0","758.644.736","386.643.512","22.216.704","21.651.904","4.449","0","688","685"
"16:26:36.313, 19 de jun. de 2023","0,2","0,0","758.644.736","387.925.648","22.216.704","21.651.904","4.449","0","688","685"
"16:26:37.313, 19 de jun. de 2023","0,3","0,0","758.644.736","390.489.920","22.216.704","21.651.904","4.449","0","688","685"
"16:26:38.313, 19 de jun. de 2023","0,2","0,0","758.644.736","393.054.224","22.216.704","21.651.904","4.449","0","688","685"
"16:26:39.314, 19 de jun. de 2023","0,6","0,0","758.644.736","394.701.368","22.216.704","21.651.904","4.449","0","607","604"
"16:26:40.314, 19 de jun. de 2023","0,2","0,0","758.644.736","397.265.608","22.216.704","21.651.904","4.449","0","607","604"
"16:26:41.314, 19 de jun. de 2023","0,2","0,0","758.644.736","398.547.744","22.216.704","21.651.904","4.449","0","607","604"
"16:26:42.314, 19 de jun. de 2023","0,3","0,0","758.644.736","401.112.024","22.216.704","21.651.904","4.449","0","607","604"
"16:26:43.314, 19 de jun. de 2023","0,5","0,0","758.644.736","402.394.152","22.216.704","21.654.520","4.449","0","607","604"
"16:26:44.315, 19 de jun. de 2023","0,1","0,0","758.644.736","404.959.408","22.216.704","21.654.520","4.449","0","607","604"
"16:26:45.315, 19 de jun. de 2023","0,7","0,0","758.644.736","406.241.528","22.216.704","21.654.520","4.449","0","607","604"
"16:26:46.315, 19 de jun. de 2023","0,2","0,0","758.644.736","408.806.800","22.216.704","21.657.376","4.449","0","607","604"
"16:26:47.315, 19 de jun. de 2023","0,3","0,0","758.644.736","410.088.936","22.216.704","21.657.376","4.449","0","564","561"
"16:26:48.316, 19 de jun. de 2023","0,2","0,0","758.644.736","412.654.208","22.216.704","21.659.440","4.449","0","564","561"
"16:26:49.316, 19 de jun. de 2023","1,2","0,0","758.644.736","413.964.352","22.216.704","21.660.096","4.449","0","20","17"
"16:26:50.316, 19 de jun. de 2023","0,0","0,0","758.644.736","413.964.352","22.216.704","21.661.240","4.449","0","20","17"
"16:26:51.316, 19 de jun. de 2023","0,0","0,0","758.644.736","415.247.488","22.216.704","21.661.240","4.449","0","20","17"
"16:26:52.317, 19 de jun. de 2023","0,2","0,0","758.644.736","415.326.784","22.216.704","21.662.712","4.449","0","20","17"
"16:26:53.317, 19 de jun. de 2023","0,1","0,0","758.644.736","415.326.784","22.216.704","21.662.712","4.449","0","20","17"
"16:26:54.363, 19 de jun. de 2023","0,1","0,0","758.644.736","415.326.784","22.216.704","21.668.112","4.449","0","20","17"
"16:26:55.317, 19 de jun. de 2023","0,0","0,0","758.644.736","416.609.920","22.216.704","21.668.112","4.449","0","20","17"
"16:26:56.318, 19 de jun. de 2023","0,1","0,0","758.644.736","416.609.920","22.216.704","21.670.248","4.449","0","20","17"
"16:26:57.318, 19 de jun. de 2023","0,0","0,0","758.644.736","416.609.920","22.216.704","21.670.248","4.449","0","20","17"
"16:26:58.318, 19 de jun. de 2023","0,1","0,0","758.644.736","416.609.920","22.216.704","21.670.248","4.449","0","20","17"
"16:26:59.318, 19 de jun. de 2023","0,1","0,0","758.644.736","416.609.920","22.216.704","21.670.248","4.449","0","20","17"
"16:27:00.319, 19 de jun. de 2023","0,0","0,0","758.644.736","417.892.040","22.216.704","21.672.960","4.449","0","20","17"
"16:27:01.322, 19 de jun. de 2023","0,1","0,0","758.644.736","417.972.384","22.216.704","21.672.960","4.449","0","20","17"
"16:27:02.319, 19 de jun. de 2023","0,1","0,0","758.644.736","418.051.392","22.216.704","21.673.632","4.449","0","20","17"
"16:27:03.319, 19 de jun. de 2023","0,0","0,0","758.644.736","418.051.392","22.216.704","21.673.632","4.449","0","20","17"
"16:27:04.319, 19 de jun. de 2023","0,1","0,0","758.644.736","418.051.392","22.216.704","21.673.632","4.449","0","20","17"
"16:27:05.320, 19 de jun. de 2023","0,1","0,0","758.644.736","419.333.544","22.216.704","21.673.632","4.449","0","20","17"
"16:27:06.320, 19 de jun. de 2023","0,0","0,0","758.644.736","419.333.544","22.216.704","21.673.632","4.449","0","20","17"
"16:27:07.320, 19 de jun. de 2023","0,1","0,0","758.644.736","419.333.544","22.216.704","21.673.632","4.449","0","20","17"
