"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:23:38.257, 19 de jun. de 2023","0,3","0,0","649.592.832","537.808.824","22.020.096","21.464.152","4.432","0","1.070","1.067"
"16:23:39.257, 19 de jun. de 2023","1,3","0,0","649.592.832","540.784.248","22.020.096","21.464.640","4.432","0","1.070","1.067"
"16:23:40.258, 19 de jun. de 2023","2,8","0,0","649.592.832","543.770.976","22.020.096","21.464.640","4.432","0","1.070","1.067"
"16:23:41.258, 19 de jun. de 2023","0,4","0,0","649.592.832","547.580.320","22.020.096","21.467.392","4.432","0","1.070","1.067"
"16:23:42.258, 19 de jun. de 2023","0,5","0,0","649.592.832","550.555.696","22.020.096","21.467.392","4.432","0","1.070","1.067"
"16:23:43.259, 19 de jun. de 2023","0,5","0,0","649.592.832","554.275.936","22.020.096","21.467.392","4.432","0","1.070","1.067"
"16:23:44.259, 19 de jun. de 2023","0,5","0,0","649.592.832","557.432.592","22.020.096","21.467.392","4.432","0","1.070","1.067"
"16:23:45.259, 19 de jun. de 2023","0,9","0,0","649.592.832","560.408.016","22.020.096","21.467.392","4.432","0","1.070","1.067"
"16:23:46.260, 19 de jun. de 2023","0,7","0,0","649.592.832","563.405.896","22.020.096","21.469.584","4.433","0","1.070","1.067"
"16:23:47.261, 19 de jun. de 2023","0,4","0,0","649.592.832","567.201.384","22.020.096","21.469.584","4.433","0","1.070","1.067"
"16:23:48.261, 19 de jun. de 2023","6,3","1,1","865.599.488","173.897.056","22.020.096","21.484.544","4.437","0","1.070","1.067"
"16:23:49.261, 19 de jun. de 2023","1,0","0,0","865.599.488","178.032.560","22.020.096","21.485.968","4.440","0","1.070","1.067"
"16:23:50.261, 19 de jun. de 2023","0,3","0,0","865.599.488","180.789.592","22.020.096","21.485.968","4.440","0","1.070","1.067"
"16:23:51.262, 19 de jun. de 2023","0,5","0,0","865.599.488","184.925.192","22.020.096","21.485.968","4.440","0","1.070","1.067"
"16:23:52.262, 19 de jun. de 2023","0,4","0,0","865.599.488","187.727.272","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:53.262, 19 de jun. de 2023","0,3","0,0","865.599.488","190.484.288","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:54.263, 19 de jun. de 2023","1,1","0,0","865.599.488","194.619.848","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:55.263, 19 de jun. de 2023","0,5","0,0","865.599.488","197.421.904","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:56.263, 19 de jun. de 2023","0,5","0,0","865.599.488","200.178.920","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:57.264, 19 de jun. de 2023","0,2","0,0","865.599.488","204.314.480","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:58.264, 19 de jun. de 2023","0,6","0,0","865.599.488","207.071.480","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:23:59.265, 19 de jun. de 2023","0,5","0,0","865.599.488","209.828.504","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:24:00.265, 19 de jun. de 2023","0,3","0,0","865.599.488","214.054.192","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:24:01.265, 19 de jun. de 2023","0,5","0,0","865.599.488","217.573.872","22.020.096","21.494.152","4.440","0","1.070","1.067"
"16:24:02.266, 19 de jun. de 2023","0,7","0,0","865.599.488","220.330.880","22.085.632","21.503.832","4.440","0","1.070","1.067"
"16:24:03.266, 19 de jun. de 2023","0,2","0,0","865.599.488","224.646.712","22.085.632","21.503.832","4.440","0","1.070","1.067"
"16:24:04.266, 19 de jun. de 2023","0,5","0,0","865.599.488","227.414.960","22.085.632","21.503.832","4.440","0","1.070","1.067"
"16:24:05.267, 19 de jun. de 2023","0,3","0,0","865.599.488","234.156.568","22.085.632","21.507.416","4.442","0","1.068","1.065"
"16:24:06.267, 19 de jun. de 2023","0,5","0,0","865.599.488","238.382.256","22.085.632","21.507.416","4.442","0","1.068","1.065"
"16:24:07.267, 19 de jun. de 2023","0,7","0,0","865.599.488","241.139.272","22.085.632","21.507.416","4.442","0","1.068","1.065"
"16:24:08.267, 19 de jun. de 2023","4,0","0,0","865.599.488","254.861.720","22.151.168","21.524.376","4.442","0","391","389"
