Type;Time [ms];CPU usage [%];GC activity [%];Size [B];Used [B];Total loaded;Shared loaded;Live;Daemon
Cached Threads;21:22:40.285, 30 de jun. de 2023;0,2;0,0;955.777.024;417.005.328;4.207;0;711;708
Cached Threads;21:22:41.286, 30 de jun. de 2023;0,3;0,0;955.777.024;419.320.520;4.207;0;711;708
Cached Threads;21:22:42.286, 30 de jun. de 2023;0,3;0,0;955.777.024;421.635.672;4.207;0;711;708
Cached Threads;21:22:43.286, 30 de jun. de 2023;0,3;0,0;955.777.024;423.973.384;4.207;0;711;708
Cached Threads;21:22:44.287, 30 de jun. de 2023;0,2;0,0;955.777.024;426.288.568;4.207;0;711;708
Cached Threads;21:22:45.287, 30 de jun. de 2023;0,3;0,0;955.777.024;427.446.168;4.207;0;711;708
Cached Threads;21:22:46.287, 30 de jun. de 2023;0,3;0,0;955.777.024;429.767.032;4.207;0;711;708
Cached Threads;21:22:47.287, 30 de jun. de 2023;0,2;0,0;955.777.024;432.082.296;4.207;0;711;708
Cached Threads;21:22:48.287, 30 de jun. de 2023;0,3;0,0;955.777.024;434.397.472;4.207;0;711;708
Cached Threads;21:22:49.287, 30 de jun. de 2023;0,3;0,0;955.777.024;436.859.160;4.207;0;699;696
Cached Threads;21:22:50.288, 30 de jun. de 2023;0,3;0,0;955.777.024;438.016.760;4.207;0;699;696
Cached Threads;21:22:51.291, 30 de jun. de 2023;0,3;0,0;955.777.024;440.332.008;4.207;0;699;696
Cached Threads;21:22:52.288, 30 de jun. de 2023;0,2;0,0;955.777.024;442.647.208;4.207;0;699;696
Cached Threads;21:22:53.288, 30 de jun. de 2023;0,3;0,0;955.777.024;447.147.176;4.207;0;699;696
Cached Threads;21:22:54.288, 30 de jun. de 2023;0,3;0,0;955.777.024;449.462.360;4.207;0;699;696
Cached Threads;21:22:55.288, 30 de jun. de 2023;0,3;0,0;955.777.024;450.619.960;4.207;0;699;696
Cached Threads;21:22:56.289, 30 de jun. de 2023;0,2;0,0;955.777.024;452.935.224;4.207;0;699;696
Cached Threads;21:22:57.289, 30 de jun. de 2023;0,3;0,0;955.777.024;455.250.424;4.207;0;699;696
Cached Threads;21:22:58.289, 30 de jun. de 2023;1,3;0,0;955.777.024;455.260.184;4.207;0;19;16
Cached Threads;21:22:59.289, 30 de jun. de 2023;0,0;0,0;955.777.024;455.260.184;4.207;0;19;16
Cached Threads;21:23:00.289, 30 de jun. de 2023;0,1;0,0;955.777.024;456.417.768;4.207;0;19;16
Cached Threads;21:23:01.290, 30 de jun. de 2023;0,1;0,0;955.777.024;456.417.768;4.207;0;19;16
Cached Threads;21:23:02.290, 30 de jun. de 2023;0,1;0,0;955.777.024;456.417.768;4.207;0;19;16
Cached Threads;21:23:03.290, 30 de jun. de 2023;0,0;0,0;955.777.024;456.417.768;4.207;0;19;16
Cached Threads;21:23:04.290, 30 de jun. de 2023;0,1;0,0;955.777.024;456.417.768;4.207;0;19;16
Cached Threads;21:23:05.291, 30 de jun. de 2023;0,0;0,0;955.777.024;457.576.368;4.207;0;19;16
Cached Threads;21:23:06.291, 30 de jun. de 2023;0,1;0,0;955.777.024;457.576.368;4.207;0;19;16
Cached Threads;21:23:07.291, 30 de jun. de 2023;0,1;0,0;955.777.024;457.576.368;4.207;0;19;16
Cached Threads;21:23:08.291, 30 de jun. de 2023;3,8;0,0;955.777.024;467.159.856;4.207;0;276;273
Cached Threads;21:23:09.291, 30 de jun. de 2023;51,2;0,0;955.777.024;532.122.640;4.207;0;736;733
Cached Threads;21:23:10.292, 30 de jun. de 2023;49,2;0,0;955.777.024;549.214.328;4.207;0;736;733
Cached Threads;21:23:11.292, 30 de jun. de 2023;45,3;0,0;955.777.024;567.535.832;4.207;0;736;733
Cached Threads;21:23:12.292, 30 de jun. de 2023;49,9;0,0;955.777.024;586.023.608;4.207;0;736;733
Cached Threads;21:23:13.292, 30 de jun. de 2023;45,3;0,0;955.777.024;603.594.600;4.207;0;736;733
Cached Threads;21:23:14.292, 30 de jun. de 2023;49,3;0,0;955.777.024;620.738.184;4.207;0;736;733
Cached Threads;21:23:15.292, 30 de jun. de 2023;45,3;0,0;955.777.024;638.553.512;4.207;0;736;733
Cached Threads;21:23:16.293, 30 de jun. de 2023;49,1;0,0;955.777.024;655.690.784;4.207;0;736;733
Cached Threads;21:23:17.293, 30 de jun. de 2023;45,4;0,0;955.777.024;672.534.832;4.207;0;736;733
Cached Threads;21:23:18.293, 30 de jun. de 2023;45,6;0,0;955.777.024;689.702.448;4.207;0;736;733
Cached Threads;21:23:19.293, 30 de jun. de 2023;0,9;0,0;955.777.024;692.871.976;4.207;0;736;733
Cached Threads;21:23:20.293, 30 de jun. de 2023;0,3;0,0;955.777.024;695.187.176;4.207;0;736;733
Cached Threads;21:23:21.293, 30 de jun. de 2023;0,2;0,0;955.777.024;697.370.960;4.207;0;736;733
Cached Threads;21:23:22.293, 30 de jun. de 2023;0,3;0,0;955.777.024;699.554.744;4.207;0;736;733
Cached Threads;21:23:23.294, 30 de jun. de 2023;0,2;0,0;955.777.024;701.738.576;4.207;0;736;733
Cached Threads;21:23:24.294, 30 de jun. de 2023;0,2;0,0;955.777.024;704.053.768;4.207;0;736;733
Cached Threads;21:23:25.294, 30 de jun. de 2023;0,2;0,0;955.777.024;706.237.528;4.207;0;736;733
Cached Threads;21:23:26.294, 30 de jun. de 2023;0,2;0,0;955.777.024;708.421.288;4.207;0;736;733
Cached Threads;21:23:27.294, 30 de jun. de 2023;0,3;0,0;955.777.024;710.605.120;4.207;0;736;733
Cached Threads;21:23:28.294, 30 de jun. de 2023;0,2;0,0;955.777.024;712.788.904;4.207;0;736;733
Cached Threads;21:23:29.294, 30 de jun. de 2023;0,3;0,0;955.777.024;715.104.176;4.207;0;736;733
Cached Threads;21:23:30.295, 30 de jun. de 2023;0,2;0,0;955.777.024;717.419.376;4.207;0;736;733
Cached Threads;21:23:31.295, 30 de jun. de 2023;0,2;0,0;955.777.024;719.734.552;4.207;0;736;733
Cached Threads;21:23:32.295, 30 de jun. de 2023;0,3;0,0;955.777.024;721.918.336;4.207;0;736;733
Cached Threads;21:23:33.295, 30 de jun. de 2023;0,2;0,0;955.777.024;724.102.104;4.207;0;736;733
Cached Threads;21:23:34.295, 30 de jun. de 2023;0,3;0,0;955.777.024;726.285.888;4.207;0;736;733
Cached Threads;21:23:35.295, 30 de jun. de 2023;0,2;0,0;955.777.024;728.469.664;4.207;0;736;733
Cached Threads;21:23:36.295, 30 de jun. de 2023;0,2;0,0;955.777.024;735.828.184;4.207;0;736;733
Cached Threads;21:23:37.296, 30 de jun. de 2023;0,6;0,0;955.777.024;738.011.968;4.207;0;736;733
