"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"16:17:43.639, 19 de jun. de 2023","0,6","0,0","2.441.609.216","1.502.258.312","22.282.240","21.629.544","32","29","4.458","0"
"16:17:44.639, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.502.560.808","22.282.240","21.629.928","32","29","4.458","0"
"16:17:45.639, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.502.863.336","22.282.240","21.630.344","32","29","4.458","0"
"16:17:46.640, 19 de jun. de 2023","0,6","0,0","2.441.609.216","1.503.165.832","22.282.240","21.635.584","31","28","4.460","0"
"16:17:47.640, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.503.469.400","22.282.240","21.635.584","31","28","4.460","0"
"16:17:48.640, 19 de jun. de 2023","2,3","0,0","2.441.609.216","1.503.771.880","22.282.240","21.635.584","31","28","4.460","0"
"16:17:49.641, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.504.074.376","22.282.240","21.635.584","31","28","4.460","0"
"16:17:50.641, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.504.376.984","22.282.240","21.636.072","31","28","4.460","0"
"16:17:51.641, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.504.679.496","22.282.240","21.636.568","31","28","4.460","0"
"16:17:52.642, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.504.982.984","22.282.240","21.636.568","31","28","4.460","0"
"16:17:53.642, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.505.285.480","22.282.240","21.636.568","31","28","4.460","0"
"16:17:54.642, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.505.589.480","22.282.240","21.636.568","31","28","4.460","0"
"16:17:55.643, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.505.892.016","22.282.240","21.636.568","31","28","4.460","0"
"16:17:56.643, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.506.346.768","22.347.776","21.654.968","31","28","4.465","0"
"16:17:57.643, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.506.650.344","22.347.776","21.655.944","31","28","4.468","0"
"16:17:58.644, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.506.952.864","22.347.776","21.655.944","31","28","4.468","0"
"16:17:59.644, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.507.255.944","22.347.776","21.655.944","31","28","4.468","0"
"16:18:00.644, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.507.559.944","22.347.776","21.656.560","31","28","4.468","0"
"16:18:01.645, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.507.862.440","22.347.776","21.656.560","31","28","4.468","0"
"16:18:02.645, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.508.165.952","22.347.776","21.657.064","31","28","4.468","0"
"16:18:03.645, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.508.468.960","22.347.776","21.657.696","31","28","4.468","0"
"16:18:04.645, 19 de jun. de 2023","3,6","0,0","2.441.609.216","1.508.772.488","22.347.776","21.657.696","31","28","4.468","0"
"16:18:05.646, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.509.075.056","22.347.776","21.657.696","31","28","4.468","0"
"16:18:06.646, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.510.688.872","22.347.776","21.665.040","31","28","4.468","0"
"16:18:07.646, 19 de jun. de 2023","0,8","0,0","2.441.609.216","1.510.992.872","22.347.776","21.665.776","31","28","4.468","0"
"16:18:08.646, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.511.296.368","22.347.776","21.665.776","31","28","4.468","0"
"16:18:09.646, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.511.601.688","22.347.776","21.665.776","31","28","4.468","0"
"16:18:10.647, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.511.905.184","22.347.776","21.665.776","31","28","4.468","0"
"16:18:11.647, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.512.361.320","22.347.776","21.665.776","31","28","4.468","0"
"16:18:12.647, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.512.664.824","22.347.776","21.665.776","31","28","4.468","0"
"16:18:13.647, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.512.967.312","22.347.776","21.665.776","31","28","4.468","0"
