"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"16:20:18.680, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.667.858.144","22.347.776","21.743.104","29","26","4.475","0"
"16:20:19.680, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.668.191.208","22.347.776","21.743.104","29","26","4.475","0"
"16:20:20.680, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.668.524.272","22.347.776","21.743.104","29","26","4.475","0"
"16:20:21.680, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.668.858.352","22.347.776","21.743.104","29","26","4.475","0"
"16:20:22.680, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.668.858.352","22.347.776","21.743.104","29","26","4.475","0"
"16:20:23.681, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.669.192.432","22.347.776","21.743.104","29","26","4.475","0"
"16:20:24.681, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.669.525.512","22.347.776","21.743.104","29","26","4.475","0"
"16:20:25.681, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.669.858.592","22.347.776","21.743.104","29","26","4.475","0"
"16:20:26.681, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.670.191.672","22.347.776","21.744.248","29","26","4.475","0"
"16:20:27.682, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.670.525.240","22.347.776","21.744.248","27","24","4.475","0"
"16:20:28.682, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.670.858.336","22.347.776","21.744.248","27","24","4.475","0"
"16:20:29.682, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.670.858.336","22.347.776","21.744.248","27","24","4.475","0"
"16:20:30.682, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.671.192.416","22.347.776","21.744.248","27","24","4.475","0"
"16:20:31.683, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.671.759.928","22.347.776","21.747.840","27","24","4.475","0"
"16:20:32.683, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.672.093.000","22.347.776","21.752.256","27","24","4.475","0"
"16:20:33.683, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.672.427.464","22.347.776","21.755.088","27","24","4.475","0"
"16:20:34.683, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.672.760.544","22.347.776","21.755.088","27","24","4.475","0"
"16:20:35.683, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.673.094.624","22.347.776","21.755.088","27","24","4.475","0"
"16:20:36.684, 19 de jun. de 2023","0,7","0,0","2.441.609.216","1.673.094.624","22.347.776","21.757.040","27","24","4.475","0"
"16:20:37.684, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.673.427.736","22.347.776","21.757.696","27","24","4.475","0"
"16:20:38.684, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.673.761.816","22.347.776","21.757.696","27","24","4.475","0"
"16:20:39.684, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.674.094.880","22.347.776","21.757.696","27","24","4.475","0"
"16:20:40.684, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.674.428.448","22.347.776","21.757.696","27","24","4.475","0"
"16:20:41.685, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.674.761.608","22.347.776","21.760.320","27","24","4.475","0"
"16:20:42.685, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.675.094.664","22.347.776","21.760.320","27","24","4.475","0"
"16:20:43.685, 19 de jun. de 2023","1,4","0,0","2.441.609.216","1.675.094.664","22.347.776","21.760.320","27","24","4.475","0"
"16:20:44.685, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.675.427.728","22.347.776","21.760.320","27","24","4.475","0"
"16:20:45.686, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.675.761.808","22.347.776","21.760.320","27","24","4.475","0"
"16:20:46.686, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.676.094.888","22.347.776","21.760.824","27","24","4.475","0"
"16:20:47.686, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.676.427.984","22.347.776","21.760.824","27","24","4.475","0"
"16:20:48.686, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.676.762.064","22.347.776","21.760.824","27","24","4.475","0"
"16:20:49.686, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.676.762.064","22.347.776","21.760.824","27","24","4.475","0"
"16:20:50.687, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.677.095.632","22.347.776","21.760.824","27","24","4.475","0"
"16:20:51.687, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.677.429.200","22.347.776","21.760.824","27","24","4.475","0"
"16:20:52.687, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.677.762.280","22.347.776","21.760.824","27","24","4.475","0"
"16:20:53.688, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.678.096.744","22.347.776","21.763.440","27","24","4.475","0"
"16:20:54.688, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.678.429.856","22.347.776","21.763.440","27","24","4.475","0"
"16:20:55.688, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.678.763.936","22.347.776","21.763.440","27","24","4.475","0"
"16:20:56.688, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.678.763.936","22.347.776","21.763.440","27","24","4.475","0"
"16:20:57.689, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.679.098.016","22.413.312","21.766.296","26","23","4.475","0"
"16:20:58.689, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.679.431.128","22.413.312","21.766.296","26","23","4.475","0"
"16:20:59.689, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.679.764.192","22.413.312","21.766.952","26","23","4.475","0"
"16:21:00.689, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.680.097.256","22.413.312","21.768.096","26","23","4.475","0"
"16:21:01.689, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.680.430.824","22.413.312","21.768.096","26","23","4.475","0"
"16:21:02.690, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.680.585.008","22.413.312","21.771.544","26","23","4.475","0"
"16:21:03.690, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.680.918.080","22.413.312","21.771.544","26","23","4.475","0"
"16:21:04.690, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.681.251.144","22.413.312","21.777.864","26","23","4.475","0"
"16:21:05.691, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.681.584.224","22.413.312","21.777.864","26","23","4.475","0"
"16:21:06.691, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.681.917.792","22.413.312","21.780.544","26","23","4.475","0"
"16:21:07.691, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.682.250.952","22.413.312","21.780.544","26","23","4.475","0"
"16:21:08.691, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.682.250.952","22.413.312","21.783.272","26","23","4.475","0"
"16:21:09.691, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.682.585.032","22.413.312","21.783.272","26","23","4.475","0"
"16:21:10.691, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.682.919.112","22.413.312","21.783.272","26","23","4.475","0"
"16:21:11.692, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.683.252.192","22.413.312","21.783.272","26","23","4.475","0"
"16:21:12.692, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.683.588.064","22.413.312","21.783.272","26","23","4.475","0"
"16:21:13.692, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.683.921.224","22.413.312","21.783.272","26","23","4.475","0"
"16:21:14.694, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.684.254.336","22.413.312","21.783.272","26","23","4.475","0"
"16:21:15.694, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.684.254.336","22.413.312","21.783.272","26","23","4.475","0"
"16:21:16.694, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.684.588.416","22.413.312","21.783.944","26","23","4.475","0"
"16:21:17.695, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.684.921.496","22.413.312","21.783.944","26","23","4.475","0"
"16:21:18.695, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.685.257.368","22.413.312","21.783.944","26","23","4.475","0"
"16:21:19.695, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.685.590.528","22.413.312","21.783.944","26","23","4.475","0"
"16:21:20.696, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.685.924.608","22.413.312","21.783.944","26","23","4.475","0"
"16:21:21.696, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.685.924.608","22.413.312","21.783.944","26","23","4.475","0"
"16:21:22.697, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.686.257.696","22.413.312","21.783.944","26","23","4.475","0"
"16:21:23.697, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.686.590.856","22.413.312","21.783.944","26","23","4.475","0"
