Tomcat Threads;21:32:09.871, 30 de jun. de 2023;45,6;0,0;516.423.680;295.788.176;4.129;0;695;692
Tomcat Threads;21:32:10.871, 30 de jun. de 2023;50,5;0,1;606.076.928;246.413.816;4.129;0;695;692
Tomcat Threads;21:32:11.871, 30 de jun. de 2023;44,7;0,0;606.076.928;266.033.304;4.129;0;695;692
Tomcat Threads;21:32:12.871, 30 de jun. de 2023;48,7;0,0;606.076.928;285.884.360;4.129;0;695;692
Tomcat Threads;21:32:13.872, 30 de jun. de 2023;44,3;0,0;606.076.928;305.738.168;4.129;0;695;692
Tomcat Threads;21:32:14.872, 30 de jun. de 2023;48,4;0,0;606.076.928;325.601.128;4.129;0;695;692
Tomcat Threads;21:32:15.872, 30 de jun. de 2023;45,8;0,1;503.316.480;235.221.200;4.129;0;695;692
Tomcat Threads;21:32:16.872, 30 de jun. de 2023;44,3;0,0;503.316.480;254.345.808;4.129;0;695;692
Tomcat Threads;21:32:17.872, 30 de jun. de 2023;0,7;0,0;503.316.480;256.924.056;4.129;0;695;692
Tomcat Threads;21:32:18.873, 30 de jun. de 2023;0,2;0,0;503.316.480;258.863.672;4.129;0;695;692
Tomcat Threads;21:32:19.873, 30 de jun. de 2023;0,2;0,0;503.316.480;261.441.480;4.129;0;695;692
Tomcat Threads;21:32:20.873, 30 de jun. de 2023;0,2;0,0;503.316.480;263.420.512;4.129;0;695;692
Tomcat Threads;21:32:21.873, 30 de jun. de 2023;0,7;0,0;503.316.480;265.354.496;4.129;0;695;692
Tomcat Threads;21:32:22.873, 30 de jun. de 2023;0,2;0,0;503.316.480;267.932.312;4.129;0;695;692
Tomcat Threads;21:32:23.874, 30 de jun. de 2023;0,3;0,0;503.316.480;269.959.136;4.129;0;695;692
Tomcat Threads;21:32:24.874, 30 de jun. de 2023;0,2;0,0;503.316.480;271.938.216;4.129;0;695;692
Tomcat Threads;21:32:25.874, 30 de jun. de 2023;0,5;0,0;503.316.480;273.894.256;4.129;0;695;692
