Request URI, Com interrupção?, Número a verificar, Primo?, Sequência testada
/withSingleThread/15, false, 15, false, { 2 3 }
/withSingleThread/14, false, 14, false, { 2 }
/withSingleThread/17, false, 17, true, { 2 3 4 5 6 7 }
